NAME,IATA
Okoyo Airport,OKG
Cape Gloucester Airport,CGC
Casiguran Airport,CGG
Gahcho Kue,GHK
Circle Hot Springs Airport,CHP
Laurie River Airport,LRQ
Hatchet Lake Airport,YDJ
Kasba Lake Airport,YDU
Cluff Lake Airport,XCL
Knee Lake Airport,YKE
Summer Beaver Airport,SUR
Crooked Creek Airport,CKD
Tisdale Airport,YTT
Wapekeka Airport,YAX
Wunnumin Lake Airport,WNN
Opapimiskan Lake Airport,YBS
North Spirit Lake Airport,YNO
Crane Island Airstrip,CKR
Cordova Municipal Airport,CKU
North of Sixty Airport,YDW
Chicken Airport,CKX
New Camet?Ÿ?­ Airport,CMT
Caia Airport,CMZ
Tangshan Sann?Ÿ?¬he Airport,TVS
Yinchuan Hedong International Airport,INC
Duplicate --Yantai Penglai International Airport,YNT
Yuanmou Air Base,YUA
Zhangjiakou Ningyuan Airport,ZQZ
Baoshan Yunduan Airport,BSD
Dazu Air Base,DZU
Lintsang Airfield,LNJ
Shigatse Air Base,RKZ
Bao'anying Airport,PZI
Zigong Airport,ZKL
Foshan Shadi Airport,FUO
Bazhong Enyang Airport,BZX
Xinyang Minggang Airport,XAI
Huizhou Airport,HUZ
Shaoguan Guitou Airport,HSC
Jinggangshan Airport,JGS
Baise Youjiang Airport,AEB
Dongying Shengli Airport,DOY
Xingcheng Air Base,XEN
Altay Air Base,AAT
Tianshui Maijishan Airport,THQ
Zhangye Ganzhou Airport,YZY
Dandong Airport,DDG
Nantong Airport,NTG
Bearskin Lake Airport,XBE
Natuashish Airport,YNP
Parry Sound Area Municipal Airport,YPD
Brockville - Thousand Islands Regional Tackaberry Airport,XBR
Kingfisher Lake Airport,KIF
Ogoki Post Airport,YOG
El Troncal Airport,ARQ
La Chorrera Airport,LCR
Las Cruces Airport,SNT
Tarapac?Ÿ?­ Airport,TCD
Bar River Airport,YEB
Cape Orford Airport,CPI
Poplar Hill Airport,YHP
Keewaywin Airport,KEW
Sable Island Landing Strip,YSA
Lebel-sur-Quevillon Airport,YLS
Snap Lake Airport,YNX
La Sarre Airport,SSQ
Chisasibi Airport,YKU
T?Ÿ?¦te-?Ÿ?ÿ-la-Baleine Airport,ZTB
Kegaska Airport,ZKG
Donaldson Airport,YAU
La Romaine Airport,ZGS
Fontanges Airport,YFG
La Tabati?Ÿ??re Airport,ZLT
Preston Airport,PST
Culion Airport,CUJ
Hollister Municipal Airport,HLI
Cape Vogel Airport,CVL
Chitina Airport,CXC
Lefkoniko Airport,GEC
Arctic Bay Airport,YAB
Cat Lake Airport,YAC
La Grande-3 Airport,YAR
Fort Frances Municipal Airport,YAG
La Grande-4 Airport,YAH
Alert Bay Airport,YAL
Sault Ste Marie Airport,YAM
Kasabonika Airport,XKS
Kangirsuk Airport,YKG
Attawapiskat Airport,YAT
St. Anthony Airport,YAY
Tofino / Long Beach Airport,YAZ
Banff Airport,YBA
Kugaaruk Airport,YBB
Baie Comeau Airport,YBC
Bella Coola Airport,QBC
Uranium City Airport,YBE
Bonnyville Airport,YBY
CFB Bagotville,YBG
Baker Lake Airport,YBK
Campbell River Airport,YBL
Tadoule Lake Airport,XTL
Brandon Municipal Airport,YBR
Brochet Airport,YBT
Berens River Airport,YBV
Lourdes de Blanc Sablon Airport,YBX
Cartwright Airport,YRF
Cambridge Bay Airport,YCB
Cornwall Regional Airport,YCC
Nanaimo Airport,YCD
Centralia / James T. Field Memorial Aerodrome,YCE
Castlegar/West Kootenay Regional Airport,YCG
Miramichi Airport,YCH
Chatham Kent Airport,XCM
Charlo Airport,YCL
Cochrane Airport,YCN
Kugluktuk Airport,YCO
Chetwynd Airport,YCQ
Cross Lake (Charlie Sinclair Memorial) Airport,YCR
Chesterfield Inlet Airport,YCS
Coronation Airport,YCT
Chilliwack Airport,YCW
Clyde River Airport,YCY
Fairmont Hot Springs Airport,YCZ
Dawson City Airport,YDA
Burwash Airport,YDB
Deer Lake Airport,YDF
Dease Lake Airport,YDL
Ross River Airport,XRR
Dauphin Barker Airport,YDN
Dolbeau St Felicien Airport,YDO
Nain Airport,YDP
Dawson Creek Airport,YDQ
Edmonton International Airport,YEG
Arviat Airport,YEK
Elliot Lake Municipal Airport,YEL
Manitoulin East Municipal Airport,YEM
Estevan Airport,YEN
Fort Severn Airport,YER
Edson Airport,YET
Eureka Airport,YEU
Inuvik Mike Zubko Airport,YEV
Amos/Magny Airport,YEY
Fort Albany Airport,YFA
Iqaluit Airport,YFB
Fredericton Airport,YFC
Forestville Airport,YFE
Fort Hope Airport,YFH
La Macaza / Mont-Tremblant International Inc Airport,YTM
Flin Flon Airport,YFO
Fort Resolution Airport,YFR
Fort Simpson Airport,YFS
Makkovik Airport,YMN
Texada Gillies Bay Airport,YGB
Fort Good Hope Airport,YGH
Kingston Norman Rogers Airport,YGK
La Grande Rivi?Ÿ??re Airport,YGL
Gimli Industrial Park Airport,YGM
Gods Lake Narrows Airport,YGO
Gasp?Ÿ?? (Michel-Pouliot) Airport,YGP
Geraldton Greenstone Regional Airport,YGQ
?Ÿ??les-de-la-Madeleine Airport,YGR
Igloolik Airport,YGT
Havre St Pierre Airport,YGV
Kuujjuarapik Airport,YGW
Gillam Airport,YGX
Grise Fiord Airport,YGZ
Quaqtaq Airport,YQC
Hudson Bay Airport,YHB
Dryden Regional Airport,YHD
Hope Airport,YHE
Hearst Ren?Ÿ?? Fontaine Municipal Airport,YHF
Nemiscau Airport,YNS
Ulukhaktok Holman Airport,YHI
Gjoa Haven Airport,YHK
John C. Munro Hamilton International Airport,YHM
Hornepayne Municipal Airport,YHN
Hopedale Airport,YHO
Chevery Airport,YHR
Haines Junction Airport,YHT
Montr?Ÿ??al / Saint-Hubert Airport,YHU
Hay River / Merlyn Carter Airport,YHY
Halifax / Stanfield International Airport,YHZ
Atikokan Municipal Airport,YIB
Digby / Annapolis Regional Airport,YDG
St Augustin Airport,YIF
Ivujivik Airport,YIK
Pond Inlet Airport,YIO
Island Lake Airport,YIV
Jasper Airport,YJA
Fort Liard Airport,YJF
St Jean Airport,YJN
Stephenville Airport,YJT
Kamloops Airport,YKA
Collins Bay Airport,YKC
Aklavik/Freddie Carmichael Airport,LAK
Waterloo Airport,YKF
Kangiqsujuaq (Wakeham Bay) Airport,YWB
Key Lake Airport,YKJ
Schefferville Airport,YKL
Kincardine Municipal Airport,YKD
Akulivik Airport,AKV
Waskaganish Airport,YKQ
Kirkland Lake Airport,YKX
Kindersley Airport,YKY
Buttonville Municipal Airport,YKZ
Aupaluk Airport,YPJ
Lac La Biche Airport,YLB
Kimmirut Airport,YLC
Chapleau Airport,YLD
Lansdowne House Airport,YLH
Meadow Lake Airport,YLJ
Lutselk'e Airport,YSG
Lloydminster Airport,YLL
La Tuque Airport,YLQ
Leaf Rapids Airport,YLR
Barrie-Orillia (Lake Simcoe Regional Airport),YLK
Alert Airport,YLT
Kangiqsualujjuaq (Georges River) Airport,XGR
Kelowna International Airport,YLW
Mayo Airport,YMA
Matane Airport,YME
Manitouwadge Airport,YMG
Mary's Harbour Airport,YMH
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ
Charlevoix Airport,YML
Fort McMurray Airport,YMM
Moosonee Airport,YMO
Chapais Airport,YMT
Umiujaq Airport,YUD
Maniwaki Airport,YMW
Montreal International (Mirabel) Airport,YMX
Natashquan Airport,YNA
Wemindji Airport,YNC
Ottawa / Gatineau Airport,YND
Norway House Airport,YNE
Hudsons Hope Airport,YNH
Langley Airport,YLY
Points North Landing Airport,YNL
Matagami Airport,YNM
Fort Mackay / Horizon Airport,HZP
Ekati Airport,YOA
Old Crow Airport,YOC
CFB Cold Lake,YOD
Oxford House Airport,YOH
High Level Airport,YOJ
Toronto/Oshawa Executive Airport,YOO
Rainbow Lake Airport,YOP
Owen Sound / Billy Bishop Regional Airport,YOS
Ottawa Macdonald-Cartier International Airport,YOW
Prince Albert Glass Field,YPA
Paulatuk (Nora Aliqatchialuk Ruben) Airport,YPC
Port Hawkesbury Airport,YPS
Peace River Airport,YPE
Portage-la-Prairie / Southport Airport,YPG
Inukjuak Airport,YPH
Pickle Lake Airport,YPL
Pikangikum Airport,YPM
Port Menier Airport,YPN
Peawanuck Airport,YPO
Peterborough Airport,YPQ
Prince Rupert Airport,YPR
Powell River Airport,YPW
Puvirnituq Airport,YPX
Fort Chipewyan Airport,YPY
Burns Lake Airport,YPZ
Muskoka Airport,YQA
Quebec Jean Lesage International Airport,YQB
The Pas Airport,YQD
Red Deer Regional Airport,YQF
Windsor Airport,YQG
Watson Lake Airport,YQH
Yarmouth Airport,YQI
Kenora Airport,YQK
Lethbridge County Airport,YQL
Greater Moncton Rom?Ÿ??o LeBlanc International Airport,YQM
Nakina Airport,YQN
Comox Airport,YQQ
Regina International Airport,YQR
St Thomas Municipal Airport,YQS
Thunder Bay Airport,YQT
Grande Prairie Airport,YQU
Yorkton Municipal Airport,YQV
North Battleford Airport,YQW
Gander International Airport,YQX
Sydney / J.A. Douglas McCurdy Airport,YQY
Quesnel Airport,YQZ
Rae Lakes Airport,YRA
Resolute Bay Airport,YRB
Rivi?Ÿ??re-du-Loup Airport,YRI
Roberval Airport,YRJ
Red Lake Airport,YRL
Rocky Mountain House Airport,YRM
Ottawa / Rockcliffe Airport,YRO
Trois-Rivi?Ÿ??res Airport,YRQ
Red Sucker Lake Airport,YRS
Rankin Inlet Airport,YRT
Revelstoke Airport,YRV
Sudbury Airport,YSB
Sherbrooke Airport,YSC
Squamish Airport,YSE
Stony Rapids Airport,YSF
Smiths Falls-Montague (Russ Beach) Airport,YSH
Saint John Airport,YSJ
Sanikiluaq Airport,YSK
St Leonard Airport,YSL
Fort Smith Airport,YSM
Niagara District Airport,YCM
Marathon Airport,YSP
St. Theresa Point Airport,YST
Summerside Airport,YSU
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY
Pembroke Airport,YTA
Cape Dorset Airport,YTE
Alma Airport,YTF
Thompson Airport,YTH
Big Trout Lake Airport,YTL
Tasiujaq Airport,YTQ
CFB Trenton,YTR
Timmins/Victor M. Power,YTS
Billy Bishop Toronto City Centre Airport,YTZ
Tuktoyaktuk Airport,YUB
Montreal / Pierre Elliott Trudeau International Airport,YUL
Naujaat Airport,YUT
Hall Beach Airport,YUX
Rouyn Noranda Airport,YUY
Bonaventure Airport,YVB
La Ronge Airport,YVC
Vermilion Airport,YVG
Vernon Airport,YVE
Tommy Kochon Airport,YCK
Qikiqtarjuaq Airport,YVM
Val-d'Or Airport,YVO
Kuujjuaq Airport,YVP
Norman Wells Airport,YVQ
Vancouver International Airport,YVR
Buffalo Narrows Airport,YVT
Wiarton Airport,YVV
Deer Lake Airport,YVZ
Petawawa Airport,YWA
Winnipeg / James Armstrong Richardson International Airport,YWG
D?Ÿ??line Airport,YWJ
Wabush Airport,YWK
Williams Lake Airport,YWL
Webequie Airport,YWP
Wrigley Airport,YWY
Cranbrook/Canadian Rockies International Airport,YXC
Saskatoon John G. Diefenbaker International Airport,YXE
Medicine Hat Airport,YXH
Fort St John Airport,YXJ
Rimouski Airport,YXK
Sioux Lookout Airport,YXL
Whale Cove Airport,YXN
Pangnirtung Airport,YXP
Beaver Creek Airport,YXQ
Earlton (Timiskaming Regional) Airport,YXR
Prince George Airport,YXS
Northwest Regional Airport Terrace-Kitimat,YXT
London Airport,YXU
Abbotsford Airport,YXX
Whitehorse / Erik Nielsen International Airport,YXY
Wawa Airport,YXZ
North Bay Jack Garland Airport,YYB
Calgary International Airport,YYC
Smithers Airport,YYD
Fort Nelson Airport,YYE
Penticton Airport,YYF
Charlottetown Airport,YYG
Taloyoak Airport,YYH
Victoria International Airport,YYJ
Lynn Lake Airport,YYL
Cowley Airport,YYM
Swift Current Airport,YYN
Churchill Airport,YYQ
Goose Bay Airport,YYR
St. John's International Airport,YYT
Kapuskasing Airport,YYU
Armstrong Airport,YYW
Mont Joli Airport,YYY
Lester B. Pearson International Airport,YYZ
Gore Bay Manitoulin Airport,YZE
Yellowknife Airport,YZF
Salluit Airport,YZG
Slave Lake Airport,YZH
Sandspit Airport,YZP
Chris Hadfield Airport,YZR
Coral Harbour Airport,YZS
Port Hardy Airport,YZT
Whitecourt Airport,YZU
Sept-?Ÿ??les Airport,YZV
Teslin Airport,YZW
CFB Greenwood,YZX
York Landing Airport,ZAC
Shuswap Regional Airport,YSN
Boundary Bay Airport,YDT
Ilford Airport,ILF
Bathurst Airport,ZBF
Bromont (Roland Desourdy) Airport,ZBM
Kelsey Airport,KES
Eastmain River Airport,ZEM
Faro Airport,ZFA
Fond-Du-Lac Airport,ZFD
Pukatawagan Airport,XPK
Fort Mcpherson Airport,ZFM
Tulita Airport,ZFN
Grand Forks Airport,ZGF
Gods River Airport,ZGI
Little Grand Rapids Airport,ZGR
High Prairie Airport,ZHP
Coraz?Ÿ??n de Jes?Ÿ?§s Airport,CZJ
Jenpeg Airport,ZJG
Swan River Airport,ZJN
Cascade Locks State Airport,CZK
Kashechewan Airport,ZKE
Thicket Portage Airport,YTD
Muskrat Dam Airport,MSA
South Cariboo Region / 108 Mile Airport,ZMH
Pikwitonei Airport,PIW
Masset Airport,ZMT
Chisana Airport,CZN
Poplar River Airport,XPP
Chistochina Airport,CZO
Sachigo Lake Airport,ZPB
Pincher Creek Airport,WPC
Pinehouse Lake Airport,ZPO
Round Lake (Weagamow Lake) Airport,ZRJ
Sandy Lake Airport,ZSJ
South Indian Lake Airport,XSI
Stewart Airport,ZST
Bloodvein River Airport,YDV
Shamattawa Airport,ZTM
Ignace Municipal Airport,ZUC
Churchill Falls Airport,ZUM
Lac Brochet Airport,XLB
Wollaston Lake Airport,ZWL
Canandaigua Airport,IUA
Delta Junction Airport,DJN
Mostaganem Airport,MQV
Blida Airport,QLD
Bou Saada Airport,BUJ
Soummam Airport,BJA
Houari Boumediene Airport,ALG
Djanet Inedbirene Airport,DJG
Illizi Takhamalt Airport,VVZ
Ain Arnat Airport,QSF
Aguenar ?›???? Hadj Bey Akhamok Airport,TMR
Jijel Ferhat Abbas Airport,GJL
Mecheria Airport,MZW
Rabah Bitat Airport,AAE
Mohamed Boudiaf International Airport,CZL
Oum el Bouaghi airport,QMH
Cheikh Larbi T?Ÿ??bessi Airport,TEE
Batna Airport,BLJ
Daup Airport,DAF
Hassi R'Mel Airport,HRM
